Date,Open,High,Low,Close,Adj Close,Volume
2015-02-20,35500.0,35800.0,35300.0,35325.0,33678.183594,1313500
2015-02-23,35400.0,36100.0,35400.0,36050.0,34369.386719,1280400
2015-02-24,36000.0,36050.0,35700.0,36025.0,34345.550781,1133800
2015-02-25,36100.0,36350.0,36025.0,36350.0,34655.402344,1320000
2015-02-26,36150.0,36650.0,35725.0,36500.0,34798.410156,1747300
2015-02-27,36125.0,36425.0,36000.0,36000.0,34321.71875,1994200
2015-03-02,36000.0,36500.0,35750.0,36400.0,34703.070313,1203700
2015-03-03,36250.0,36650.0,36075.0,36075.0,34393.222656,1846000
2015-03-04,36200.0,36350.0,36050.0,36100.0,34417.058594,626000
2015-03-05,36250.0,36725.0,36100.0,36250.0,34560.0625,1142200
2015-03-06,36500.0,37800.0,36350.0,37800.0,36037.804688,2487000
2015-03-09,37500.0,37500.0,37050.0,37500.0,35751.789063,2183300
2015-03-10,37300.0,37800.0,36525.0,37800.0,36037.804688,2241600
2015-03-11,37500.0,38750.0,37100.0,38750.0,36943.515625,3453400
2015-03-12,38750.0,39825.0,38500.0,39825.0,37968.394531,2360800
2015-03-13,39800.0,40125.0,39500.0,39875.0,38016.070313,1531300
2015-03-16,39875.0,39875.0,39500.0,39575.0,37730.054688,1532000
2015-03-17,39575.0,39850.0,38875.0,39000.0,37181.859375,1361700
2015-03-18,38950.0,38950.0,37500.0,37500.0,35751.789063,2161200
2015-03-19,38000.0,38500.0,38000.0,38300.0,36514.488281,1517200
2015-03-20,38300.0,38475.0,38075.0,38300.0,36514.488281,2131100
2015-03-23,38325.0,38800.0,38325.0,38625.0,36824.34375,932500
2015-03-24,38650.0,39000.0,38625.0,38900.0,37086.523438,2094800
2015-03-25,38750.0,38900.0,38700.0,38825.0,37015.019531,2044500
2015-03-26,38750.0,39075.0,38500.0,38500.0,36705.167969,1476500
2015-03-27,38700.0,39400.0,38700.0,39100.0,37277.195313,1722000
2015-03-30,39400.0,39900.0,39400.0,39650.0,37801.558594,1508000
2015-03-31,40500.0,40500.0,39650.0,39650.0,37801.558594,3644100
2015-04-01,39200.0,39600.0,38975.0,39025.0,37205.695313,1613900
2015-04-02,39550.0,39550.0,38975.0,39050.0,37229.527344,1478600
2015-04-06,39050.0,39575.0,39050.0,39300.0,37467.871094,375200
2015-04-07,39300.0,39900.0,39300.0,39800.0,37944.5625,1432200
2015-04-08,39825.0,39875.0,38675.0,38700.0,36895.84375,2800300
2015-04-09,38750.0,39350.0,38750.0,39350.0,37515.546875,1584000
2015-04-10,39500.0,39500.0,39300.0,39400.0,37563.210938,1134200
2015-04-13,39775.0,39775.0,39000.0,39775.0,37920.730469,1309900
2015-04-14,39775.0,39775.0,38500.0,38750.0,36943.515625,2352700
2015-04-15,39200.0,39200.0,38300.0,38625.0,36824.34375,1601500
2015-04-16,38625.0,38925.0,37675.0,38100.0,36323.816406,3174200
2015-04-17,38250.0,38650.0,38125.0,38125.0,36347.652344,1193800
2015-04-20,38400.0,38625.0,38275.0,38400.0,36609.832031,1225900
2015-04-21,38700.0,40000.0,38675.0,40000.0,38135.242188,2415400
2015-04-22,40000.0,41075.0,39200.0,40350.0,38468.925781,3475600
2015-04-23,40525.0,42500.0,40450.0,41750.0,39803.65625,2926800
2015-04-24,43000.0,43425.0,42500.0,43000.0,40995.382813,2003000
2015-04-27,40300.0,43000.0,40300.0,42075.0,40113.507813,2170000
2015-04-28,42075.0,44500.0,41225.0,44500.0,42425.453125,2020400
2015-04-29,44500.0,44500.0,39600.0,42250.0,40280.34375,4907400
2015-04-30,41500.0,44100.0,40500.0,42600.0,40614.03125,4228100
2015-05-04,42600.0,44100.0,42600.0,43000.0,40995.382813,1383700
2015-05-05,43100.0,44300.0,43100.0,44175.0,42115.605469,2123000
2015-05-06,43300.0,46000.0,43300.0,45175.0,43068.988281,2621600
2015-05-07,45175.0,45500.0,43400.0,43400.0,41376.738281,1769600
2015-05-08,44500.0,44800.0,44000.0,44000.0,41948.761719,1773700
2015-05-11,44100.0,44450.0,43575.0,43650.0,41615.078125,538600
2015-05-12,43900.0,43900.0,42500.0,42500.0,40518.691406,1740200
2015-05-13,43500.0,43500.0,42300.0,42300.0,40328.019531,1547800
2015-05-15,42300.0,43750.0,42150.0,43500.0,41472.078125,1540300
2015-05-18,43550.0,43875.0,43150.0,43850.0,41805.757813,782600
2015-05-19,43800.0,43950.0,43150.0,43850.0,41805.757813,1799000
2015-05-20,43850.0,43850.0,43350.0,43350.0,41329.066406,1197100
2015-05-22,43500.0,43900.0,43000.0,43775.0,41734.25,1897500
2015-05-25,43775.0,44550.0,43775.0,44400.0,42330.117188,1389800
2015-05-26,44250.0,46000.0,44125.0,45725.0,43593.347656,2922700
2015-05-27,45725.0,45775.0,44350.0,44500.0,42425.453125,1574700
2015-05-28,44950.0,45125.0,44575.0,44950.0,42854.476563,4047400
2015-05-29,44750.0,45400.0,43300.0,43300.0,41281.398438,4156600
2015-06-01,43500.0,43700.0,43000.0,43200.0,41186.066406,1022700
2015-06-03,43200.0,43675.0,42500.0,43600.0,41567.414063,1879500
2015-06-04,43150.0,43575.0,42650.0,42650.0,40661.699219,2597500
2015-06-05,42500.0,42600.0,42000.0,42150.0,40185.007813,1779400
2015-06-08,42100.0,42150.0,40900.0,41550.0,39612.980469,2599800
2015-06-09,41550.0,41550.0,39500.0,39700.0,37849.226563,3370700
2015-06-10,39700.0,41575.0,39700.0,41350.0,39422.304688,2088000
2015-06-11,41500.0,41950.0,40400.0,40650.0,38754.9375,2320000
2015-06-12,40800.0,41700.0,40800.0,41225.0,39303.132813,747200
2015-06-15,40900.0,41150.0,40300.0,40300.0,38421.253906,1217300
2015-06-16,40000.0,40725.0,40000.0,40000.0,38533.0,1056200
2015-06-17,40400.0,41175.0,40400.0,40925.0,39424.074219,1317700
2015-06-18,40925.0,41575.0,40925.0,41500.0,39977.984375,1469000
2015-06-19,41500.0,42000.0,41450.0,41450.0,39929.820313,1693500
2015-06-22,41700.0,41700.0,41025.0,41550.0,40026.152344,855800
2015-06-23,41550.0,42125.0,40500.0,40500.0,39014.664063,1260800
2015-06-24,41275.0,41400.0,41200.0,41400.0,39881.65625,1506600
2015-06-25,41400.0,41475.0,40775.0,40775.0,39279.574219,1446000
2015-06-26,40800.0,41100.0,39300.0,40000.0,38533.0,3001300
2015-06-29,40000.0,40000.0,39300.0,39625.0,38171.753906,1946600
2015-06-30,39625.0,40975.0,39500.0,39500.0,38051.335938,2744600
2015-07-01,39900.0,40450.0,39800.0,40000.0,38533.0,1035100
2015-07-02,40050.0,40975.0,40050.0,40325.0,38846.082031,1437000
2015-07-03,40325.0,41375.0,40300.0,41375.0,39857.574219,813300
2015-07-06,40850.0,41300.0,40500.0,40500.0,39014.664063,666300
2015-07-07,40600.0,40775.0,39850.0,40250.0,38773.828125,1715600
2015-07-08,41200.0,41200.0,40100.0,40700.0,39207.328125,1622500
2015-07-09,40325.0,40425.0,39875.0,40100.0,38629.335938,1965400
2015-07-10,40500.0,40500.0,40125.0,40200.0,38725.667969,1225800
2015-07-13,40000.0,41000.0,40000.0,40350.0,38870.164063,1004000
2015-07-14,40450.0,40650.0,39925.0,40000.0,38533.0,1293100
2015-07-15,40100.0,40375.0,40000.0,40225.0,38749.75,1478900
2015-07-22,40225.0,40375.0,39900.0,40025.0,38557.082031,2140100
2015-07-23,40100.0,40150.0,39975.0,40150.0,38677.5,2680900
2015-07-24,40150.0,40375.0,39875.0,39975.0,38508.921875,1467800
2015-07-27,39850.0,40000.0,39650.0,39750.0,38292.167969,1733500
